PRICE_USD,BEDROOMS,BATHROOMS,PARKING_SPOTS,CONSTRUCTION_AREA_SQM,LATITUDE,LONGITUDE,CITY_Guayaquil,CITY_Manta,CITY_Quito
94580,3,2,1,148.0,-0.3314841,-78.4254543,0.0,0.0,1.0
895000,5,5,6,905.0,-0.224756402486,-78.3996326424,0.0,0.0,1.0
155000,3,2,2,162.0,-0.211875599999999,-78.3727773,0.0,0.0,1.0
219000,6,6,4,580.0,-0.040091799999999,-78.4549279,0.0,0.0,1.0
115000,10,4,2,287.0,-0.2809164,-78.5535704,0.0,0.0,1.0
350000,4,2,5,499.0,-0.234387,-78.44522,0.0,0.0,1.0
120000,4,4,3,200.0,-0.1405447,-78.4697896,0.0,0.0,1.0
87500,3,2,2,250.0,-0.366423157868,-78.4379849307,0.0,0.0,1.0
385000,4,4,4,1010.0,-0.307319661721,-78.4709054026,0.0,0.0,1.0
298000,3,4,2,246.0,-0.222189785431888,-78.42435621237792,0.0,0.0,1.0
898000,4,4,8,1200.0,-0.156721129851006,-78.38468239192656,0.0,0.0,1.0
580000,5,5,10,2338.0,-0.155601999999999,-78.3728456,0.0,0.0,1.0
139000,3,2,3,444.0,-0.2673735,-78.4670593,0.0,0.0,1.0
900000,3,3,5,2026.0,-0.197413990414999,-78.4157861316,0.0,0.0,1.0
119000,3,2,2,160.0,-0.3371178,-78.4774674,0.0,0.0,1.0
410000,4,5,3,660.0,-0.2009974,-78.43303809999999,0.0,0.0,1.0
227000,5,5,3,330.0,-0.2818929,-78.4611417,0.0,0.0,1.0
195000,3,2,2,236.0,-0.210898651658481,-78.45280480635988,0.0,0.0,1.0
60000,3,1,1,93.0,-0.084605777080776,-78.44557424024963,0.0,0.0,1.0
245000,3,3,3,451.0,-0.2038414,-78.4496168,0.0,0.0,1.0
89900,3,2,2,170.0,-0.335451926623999,-78.4648256198,0.0,0.0,1.0
118000,3,2,2,160.0,-0.2128993,-78.4007561,0.0,0.0,1.0
1200000,5,5,9,3012.0,-0.1234952,-78.4759129,0.0,0.0,1.0
54900,3,2,2,135.0,-0.293019835672434,-78.48763290796103,0.0,0.0,1.0
260000,2,3,2,287.0,-0.1804328,-78.43793000000001,0.0,0.0,1.0
262000,6,4,4,369.0,-0.293110718009229,-78.45417216517637,0.0,0.0,1.0
260000,4,4,10,1040.0,-0.239509432806729,-78.32762315242309,0.0,0.0,1.0
179000,3,2,2,230.0,-0.1577503,-78.438969,0.0,0.0,1.0
110000,7,3,3,367.0,-0.254494,-78.5467722,0.0,0.0,1.0
269000,3,4,4,497.0,-0.0289921,-78.4477442,0.0,0.0,1.0
107630,3,2,2,198.0,-0.304642718914999,-78.4320263103,0.0,0.0,1.0
235000,3,3,2,196.0,-0.1840699,-78.3874328,0.0,0.0,1.0
85000,3,3,1,166.0,-0.095472080564903,-78.4392082491035,0.0,0.0,1.0
